,team,from,to,elo
4523,Bayern,2019-08-23,2019-08-24,1937.81201172
4524,Bayern,2019-08-25,2019-08-29,1942.95532227
4525,Bayern,2019-08-30,2019-08-31,1947.07995605
4526,Bayern,2019-09-01,2019-09-14,1950.14770508
4527,Bayern,2019-09-15,2019-09-17,1947.74951172
4528,Bayern,2019-09-18,2019-09-18,1952.04821777
4529,Bayern,2019-09-19,2019-09-19,1951.19299316
4530,Bayern,2019-09-20,2019-09-21,1937.75488281
4531,Bayern,2019-09-22,2019-09-28,1939.53112793
4532,Bayern,2019-09-29,2019-10-01,1940.51550293
4533,Bayern,2019-10-02,2019-10-02,1964.14208984
4534,Bayern,2019-10-03,2019-10-03,1961.11633301
4535,Bayern,2019-10-04,2019-10-05,1962.0682373
4536,Bayern,2019-10-06,2019-10-19,1947.19812012
4537,Bayern,2019-10-20,2019-10-22,1939.80444336
4538,Bayern,2019-10-23,2019-10-23,1944.27148438
4539,Bayern,2019-10-24,2019-10-24,1941.89477539
4540,Bayern,2019-10-25,2019-10-26,1943.64379883
4541,Bayern,2019-10-27,2019-11-02,1944.48657227
4542,Bayern,2019-11-03,2019-11-05,1921.03051758
4543,Bayern,2019-11-06,2019-11-06,1926.29174805
4544,Bayern,2019-11-07,2019-11-07,1933.62438965
4545,Bayern,2019-11-08,2019-11-09,1926.39050293
4546,Bayern,2019-11-10,2019-11-23,1934.67919922
4547,Bayern,2019-11-24,2019-11-26,1938.89465332
4548,Bayern,2019-11-27,2019-11-27,1953.02185059
4549,Bayern,2019-11-28,2019-11-28,1950.6003418
4550,Bayern,2019-11-29,2019-11-30,1958.13269043
4551,Bayern,2019-12-01,2019-12-07,1944.49987793
4552,Bayern,2019-12-08,2019-12-10,1932.89257812
4553,Bayern,2019-12-11,2019-12-11,1933.41113281
4554,Bayern,2019-12-12,2019-12-12,1938.24243164
4555,Bayern,2019-12-13,2019-12-14,1930.49597168
4556,Bayern,2019-12-15,2019-12-18,1934.63208008
4557,Bayern,2019-12-19,2019-12-21,1938.64904785
4558,Bayern,2019-12-22,2020-01-19,1941.55712891
4559,Bayern,2020-01-20,2020-01-25,1946.61425781
4560,Bayern,2020-01-26,2020-02-01,1951.21459961
4561,Bayern,2020-02-02,2020-02-09,1954.43188477
4562,Bayern,2020-02-10,2020-02-16,1949.22912598
4563,Bayern,2020-02-17,2020-02-18,1952.57055664
4564,Bayern,2020-02-19,2020-02-19,1954.04040527
4565,Bayern,2020-02-20,2020-02-20,1957.03076172
4566,Bayern,2020-02-21,2020-02-21,1965.13977051
4567,Bayern,2020-02-22,2020-02-25,1965.73522949
4568,Bayern,2020-02-26,2020-02-27,1978.13085938
4569,Bayern,2020-02-28,2020-02-28,1987.31140137
4570,Bayern,2020-02-29,2020-02-29,1988.84008789
4571,Bayern,2020-03-01,2020-03-08,1995.94958496
4572,Bayern,2020-03-09,2020-03-10,1997.3215332
4573,Bayern,2020-03-11,2020-03-11,2001.20239258
4574,Bayern,2020-03-12,2020-03-12,1996.82373047
4575,Bayern,2020-03-13,2020-05-17,1988.19873047
4576,Bayern,2020-05-18,2020-05-23,1990.4901123
4577,Bayern,2020-05-24,2020-05-26,1993.06628418
4578,Bayern,2020-05-27,2020-05-30,1998.78283691
4579,Bayern,2020-05-31,2020-06-06,2000.82019043
4580,Bayern,2020-06-07,2020-06-13,2007.09680176
4581,Bayern,2020-06-14,2020-06-16,2009.09985352
4582,Bayern,2020-06-17,2020-06-20,2010.60388184
4583,Bayern,2020-06-21,2020-06-27,2012.29089355
4584,Bayern,2020-06-28,2020-07-02,2017.63415527
